feature,min,max
W1,15,24
W1_err,0,0.5
g_cmodel_mag,15,36
r_cmodel_mag,14,30
i_cmodel_mag,14,30
z_cmodel_mag,14,28
y_cmodel_mag,13,30
g_cmodel_magsigma,0,0.7
r_cmodel_magsigma,0,0.5
i_cmodel_magsigma,0,0.35
z_cmodel_magsigma,0,0.45
y_cmodel_magsigma,0,0.55
g_kronflux_mag,14,36
r_kronflux_mag,14,32
i_kronflux_mag,14,31
z_kronflux_mag,14,30
y_kronflux_mag,14,31
g_kronflux_magsigma,0,1.8
r_kronflux_magsigma,0,0.9
i_kronflux_magsigma,0,0.55
z_kronflux_magsigma,0,0.6
y_kronflux_magsigma,0,0.9
i_kronflux_radius,0,6.5
g_sdssshape_shape11,0,5
r_sdssshape_shape11,0,3.5
i_sdssshape_shape11,0,2.8
z_sdssshape_shape11,0,2.8
y_sdssshape_shape11,0,2.8
g_sdssshape_shape12,-1,1
r_sdssshape_shape12,-1,1
i_sdssshape_shape12,-1,1
z_sdssshape_shape12,-1,1
y_sdssshape_shape12,-1,1
g_sdssshape_shape22,0,3.5
r_sdssshape_shape22,0,3.5
i_sdssshape_shape22,0,3
z_sdssshape_shape22,0,3
y_sdssshape_shape22,0,3
g_sdssshape_shape11sigma,0,0.35
r_sdssshape_shape11sigma,0,0.26
i_sdssshape_shape11sigma,0,0.26
z_sdssshape_shape11sigma,0,0.26
y_sdssshape_shape11sigma,0,0.26
g_sdssshape_shape12sigma,0,0.45
r_sdssshape_shape12sigma,0,0.3
i_sdssshape_shape12sigma,0,0.26
z_sdssshape_shape12sigma,0,0.26
y_sdssshape_shape12sigma,0,0.3
g_sdssshape_shape22sigma,0,0.35
r_sdssshape_shape22sigma,0,0.26
i_sdssshape_shape22sigma,0,0.2
z_sdssshape_shape22sigma,0,0.2
y_sdssshape_shape22sigma,0,0.26
gr,-1.5,4.5
ri,-1,3
iz,-1.4,2
zy,-1.5,2.2
W1g,-13,3
W1i,-7,3
